slip,mu_true,mu_noisy,surface,c1,c2,c3
0.43999411163076374,1.0512697142114737,1.0580588498421928,Dry asphalt,1.2801,23.99,0.52
0.3315770263897671,1.1072305451380895,1.1079063358329784,Dry asphalt,1.2801,23.99,0.52
0.46337618954251325,1.0391253507282625,1.0420165447151624,Dry asphalt,1.2801,23.99,0.52
0.4177077352339535,1.0628350580530839,1.0691479403114692,Dry asphalt,1.2801,23.99,0.52
0.15413475699975046,1.1682282368549204,1.1536566786563638,Dry asphalt,1.2801,23.99,0.52
0.4938802503447504,1.0232731151743444,1.0200764030107714,Dry asphalt,1.2801,23.99,0.52
0.43634417066879383,1.0531646318590517,1.0484609053161238,Dry asphalt,1.2801,23.99,0.52
0.44341473537650933,1.0494936171327247,1.0431048386502912,Dry asphalt,1.2801,23.99,0.52
0.1796068941834094,1.1694869532652485,1.1667355307529816,Dry asphalt,1.2801,23.99,0.52
0.33588288836835795,1.105035601804654,1.119985014916998,Dry asphalt,1.2801,23.99,0.52
0.3048570039211487,1.1207212132063211,1.1120629020493886,Dry asphalt,1.2801,23.99,0.52
0.48138048356307184,1.029769792680868,1.0394525762267828,Dry asphalt,1.2801,23.99,0.52
0.40140361982030776,1.0712859529660934,1.0544572552499354,Dry asphalt,1.2801,23.99,0.52
0.453623976901412,1.0441914850280185,1.0408426347281607,Dry asphalt,1.2801,23.99,0.52
0.3332808735425563,1.1063625436579818,1.1079900743090318,Dry asphalt,1.2801,23.99,0.52
0.23887111838794392,1.1517325879648552,1.157594811278448,Dry asphalt,1.2801,23.99,0.52
0.37260754372285,1.0861761394454466,1.0932884052433751,Dry asphalt,1.2801,23.99,0.52
0.1270577668658134,1.1532914680408919,1.1612249403928911,Dry asphalt,1.2801,23.99,0.52
0.4549614404961339,1.0434967632774972,1.0400095125550128,Dry asphalt,1.2801,23.99,0.52
0.39759181414370276,1.073260032577383,1.0686365146507373,Dry asphalt,1.2801,23.99,0.52
0.435470488490298,1.053618175622463,1.0621979344350345,Dry asphalt,1.2801,23.99,0.52
0.29811499556620386,1.1240772833183743,1.1221642400695582,Dry asphalt,1.2801,23.99,0.52
0.4926348022387708,1.023920470536945,1.0111636073035657,Dry asphalt,1.2801,23.99,0.52
0.47258037738051456,1.0343429436022278,1.023010071462193,Dry asphalt,1.2801,23.99,0.52
0.4412479632603242,1.0506186995244338,1.0414241766644177,Dry asphalt,1.2801,23.99,0.52
0.22114820665598842,1.1587472582595835,1.1637188657001212,Dry asphalt,1.2801,23.99,0.52
0.3419017404605545,1.101960291542406,1.1033845489031118,Dry asphalt,1.2801,23.99,0.52
0.10543745250045959,1.1232443504399952,1.1301492039806729,Dry asphalt,1.2801,23.99,0.52
0.19700570862684455,1.1663148740937892,1.1620423476304238,Dry asphalt,1.2801,23.99,0.52
0.4134074107073301,1.065065041118602,1.066650438029369,Dry asphalt,1.2801,23.99,0.52
0.43163502131526926,1.0556090361141237,1.0618649400537972,Dry asphalt,1.2801,23.99,0.52
0.49182674222769357,1.0243404771103983,1.021247011713196,Dry asphalt,1.2801,23.99,0.52
0.28583475911791023,1.130119413174665,1.134687165550239,Dry asphalt,1.2801,23.99,0.52
0.30471835186960367,1.1207904697646913,1.1141712103540249,Dry asphalt,1.2801,23.99,0.52
0.3429354713443568,1.101431344142396,1.0978008056767452,Dry asphalt,1.2801,23.99,0.52
0.21820625654742595,1.1598122970577243,1.155994918117741,Dry asphalt,1.2801,23.99,0.52
0.180862683039139,1.169344907367379,1.1573865109114885,Dry asphalt,1.2801,23.99,0.52
0.34516711396527083,1.1002887291634744,1.1051584539713302,Dry asphalt,1.2801,23.99,0.52
0.2386986639066766,1.1518050410526752,1.147111017650648,Dry asphalt,1.2801,23.99,0.52
0.40939240258596854,1.0671464646743092,1.067271405861586,Dry asphalt,1.2801,23.99,0.52
0.3309261507536637,1.1075619282207083,1.1123693948097675,Dry asphalt,1.2801,23.99,0.52
0.45634350055381,1.0427788515047698,1.0472441632650693,Dry asphalt,1.2801,23.99,0.52
0.4185724017025815,1.062386600031388,1.0690404511211158,Dry asphalt,1.2801,23.99,0.52
0.2798899533342311,1.1330043097499631,1.132019454904869,Dry asphalt,1.2801,23.99,0.52
0.45622908827007796,1.0428382839730606,1.038605300852619,Dry asphalt,1.2801,23.99,0.52
0.4486462105067585,1.0467768734512075,1.0459796913421435,Dry asphalt,1.2801,23.99,0.52
0.3116163290248799,1.1173340727829197,1.1004607284433394,Dry asphalt,1.2801,23.99,0.52
0.26894399826593374,1.1382298692759711,1.1237587445517403,Dry asphalt,1.2801,23.99,0.52
0.41324029762418046,1.0651516864221267,1.0519246902985826,Dry asphalt,1.2801,23.99,0.52
0.1875435824980365,1.1683449103570605,1.1583724420810457,Dry asphalt,1.2801,23.99,0.52
0.4040175786634988,0.7168049028814872,0.711476277021472,Wet asphalt,0.857,33.82,0.347
0.1054035409429862,0.7961683368822448,0.8025741537129012,Wet asphalt,0.857,33.82,0.347
0.0716214355650384,0.7561118138578274,0.7499403016190503,Wet asphalt,0.857,33.82,0.347
0.45812664794105906,0.6980298931754236,0.7013901000898703,Wet asphalt,0.857,33.82,0.347
0.38336004758927694,0.7239720578602068,0.7230774623309258,Wet asphalt,0.857,33.82,0.347
0.2375413854401227,0.7742951608163725,0.7623524456579592,Wet asphalt,0.857,33.82,0.347
0.4336627179167476,0.7065186709407036,0.7161825786300318,Wet asphalt,0.857,33.82,0.347
0.25724133324721987,0.7675944793159913,0.7547008598179683,Wet asphalt,0.857,33.82,0.347
0.3243804562697945,0.7444252404762687,0.7467548749215664,Wet asphalt,0.857,33.82,0.347
0.3361227631699511,0.740355491407966,0.7410253381989144,Wet asphalt,0.857,33.82,0.347
0.48872357492812196,0.6874128626555722,0.7000789748285116,Wet asphalt,0.857,33.82,0.347
0.4722583235638887,0.6931262625199619,0.6819300102849271,Wet asphalt,0.857,33.82,0.347
0.2644006491777165,0.7651409003010465,0.7597089332854108,Wet asphalt,0.857,33.82,0.347
0.26435397980923375,0.7651569175386512,0.764153852090583,Wet asphalt,0.857,33.82,0.347
0.3251578568175439,0.744155865006572,0.745964335641403,Wet asphalt,0.857,33.82,0.347
0.03286467635542794,0.5635825638706354,0.572267135308013,Wet asphalt,0.857,33.82,0.347
0.2783487463326708,0.7603430589486804,0.763454044745595,Wet asphalt,0.857,33.82,0.347
0.487813826686811,0.6877285435191535,0.687977149341253,Wet asphalt,0.857,33.82,0.347
0.45785208546490147,0.6981251648621208,0.7084085427606538,Wet asphalt,0.857,33.82,0.347
0.36603078109326687,0.7299837150044562,0.7509443504315693,Wet asphalt,0.857,33.82,0.347
0.34868827048371986,0.7359986912088026,0.7224434407927443,Wet asphalt,0.857,33.82,0.347
0.48611595364843085,0.6883177019988386,0.6882602361323459,Wet asphalt,0.857,33.82,0.347
0.3853188335910228,0.723292487677303,0.7308888866371605,Wet asphalt,0.857,33.82,0.347
0.48553591671983143,0.6885189735831232,0.689376400142287,Wet asphalt,0.857,33.82,0.347
0.4994712150224928,0.6836834488662027,0.6980298265367126,Wet asphalt,0.857,33.82,0.347
0.09269205357751929,0.7875507990347743,0.7842090748886563,Wet asphalt,0.857,33.82,0.347
0.17281882458449208,0.7945507597784875,0.784410722985293,Wet asphalt,0.857,33.82,0.347
0.4363610821548854,0.705582370466975,0.7142874777657982,Wet asphalt,0.857,33.82,0.347
0.17822402748160926,0.793089669563939,0.7653606729641999,Wet asphalt,0.857,33.82,0.347
0.292751971317038,0.7553721037156829,0.7506145157437646,Wet asphalt,0.857,33.82,0.347
0.27432234299195396,0.7617300200874262,0.7853908161775426,Wet asphalt,0.857,33.82,0.347
0.3714197330082883,0.7281143491474698,0.7283767850382108,Wet asphalt,0.857,33.82,0.347
0.11326919182069968,0.7991046599949445,0.8026823023460686,Wet asphalt,0.857,33.82,0.347
0.33610009761701976,0.740363348755595,0.7308472879767858,Wet asphalt,0.857,33.82,0.347
0.3728861107849168,0.7276056613779991,0.7273737927761943,Wet asphalt,0.857,33.82,0.347
0.1732602093539513,0.794434361266761,0.7930123728470789,Wet asphalt,0.857,33.82,0.347
0.29257364051757684,0.7554337246085565,0.774017088949052,Wet asphalt,0.857,33.82,0.347
0.3554487129203362,0.7336541418712469,0.7235533184450433,Wet asphalt,0.857,33.82,0.347
0.2761138246210744,0.7611130865401314,0.7334954500774776,Wet asphalt,0.857,33.82,0.347
0.3235549027521734,0.7447112901698736,0.7487778014112814,Wet asphalt,0.857,33.82,0.347
0.32228819457129726,0.7451501744033746,0.7606503324987959,Wet asphalt,0.857,33.82,0.347
